Type of championship,Frist team,Secend team,Match time,Score,Date
الدوري المغربي,يوسفية برشيد,نهضة بركان,23:00,0 - 0,2024-03-13
الدوري الإماراتي,بني ياس,الوصل,20:00,0 - 2,2024-03-13
الدوري الإماراتي,حتا,الوحـــدة,20:00,0 - 4,2024-03-13
الدوري الإماراتي,نادي الامارات,خورفكان,20:00,2 - 1,2024-03-13
الدوري الأوروبي,سلافيا براج,ميلان,19:45,1 - 3,2024-03-14
الدوري الأوروبي,فياريال,مارسيليا,19:45,3 - 1,2024-03-14
الدوري الأوروبي,وست هام يونايتد,فرايبورج,19:45,5 - 0,2024-03-14
الدوري الأوروبي,جلاسكو رينجرز,بنفيكا,19:45,0 - 1,2024-03-14
الدوري الأوروبي,ليفربول,سبارتا براج,22:00,6 - 1,2024-03-14
الدوري الأوروبي,باير ليفركوزن,كاراباج اجدام,22:00,3 - 2,2024-03-14
الدوري الأوروبي,برايتون,روما,22:00,1 - 0,2024-03-14
الدوري الأوروبي,أتالانتا,سبورتينج لشبونة,22:00,2 - 1,2024-03-14
الدوري الأفريقي لكرة السلة,نادي الفتح الرياضي,بترو دي لواندا,19:00,86 - 89,2024-03-14
الدوري السعودي,الخليج,الأخدود,21:00,2 - 2,2024-03-14
الدوري السعودي,أبها,الوحدة,21:00,1 - 0,2024-03-14
الدوري السعودي,الحزم,الشباب,21:00,0 - 3,2024-03-14
دوري المؤتمر الأوروبي,باوك سالونيكا,دينامو زغرب,19:45,5 - 1,2024-03-14
دوري المؤتمر الأوروبي,فيورنتينا,مكابي حيفا,19:45,1 - 1,2024-03-14
دوري المؤتمر الأوروبي,فيكتوريا بلزن,سيرفيت جنيف,19:45,0 - 0,2024-03-14
دوري المؤتمر الأوروبي,فنربخشة,سان جيلواز,19:45,0 - 1,2024-03-14
دوري المؤتمر الأوروبي,ليل,شتورم جراتس,22:00,1 - 1,2024-03-14
دوري المؤتمر الأوروبي,أستون فيلا,أياكس امستردام,22:00,4 - 0,2024-03-14
دوري المؤتمر الأوروبي,مكابى تل ابيب,أوليمبياكوس,22:00,1 - 6,2024-03-14
دوري المؤتمر الأوروبي,كلوب بروج,مولده,22:00,3 - 0,2024-03-14
الدوري الإماراتي,شباب الأهلي,البطائح,20:00,2 - 1,2024-03-14
الدوري الإماراتي,الجــزيرة,اتحاد كلباء,20:00,2 - 2,2024-03-14
الدوري الإماراتي,الشــارقة,النصر الإماراتي,20:00,2 - 2,2024-03-14
الدوري الإسباني,ريال سوسيداد,قادش,22:00,2 - 0,2024-03-15
الدوري السعودي,الطــائي,الاتفـــــاق,21:00,1 - 1,2024-03-15
الدوري السعودي,الفيحاء,الرياض,21:00,1 - 1,2024-03-15
الدوري السعودي,أهلي جدة,النصر,21:00,0 - 1,2024-03-15
الدوري الإيطالي,إمبولي,بولونيا,21:45,0 - 1,2024-03-15
الدوري الألماني,كولن,لايبزيج,21:30,1 - 5,2024-03-15
الدوري الفرنسي,تولوز,ليون,22:00,2 - 3,2024-03-15
الدوري المغربي,الاتحاد التوركي,المغرب الفاسي,23:59,1 - 0,2024-03-15
الدوري التركي,بينديكسبور,إسطنبول سبور,19:30,1 - 0,2024-03-15
الدوري التركي,فاتح كاراجومروك,قونيا سبور,19:30,1 - 1,2024-03-15
الدوري البرتغالي,إستوريل,بورتيمونينسي,22:15,1 - 0,2024-03-15
دوري نجوم قطر,السد القطري,معيذر,20:30,4 - 2,2024-03-15
دوري نجوم قطر,الدحيل,الشمال,20:30,3 - 1,2024-03-15
الدوري الإماراتي,عجمان,العين,20:00,0 - 4,2024-03-15
الدوري الإنجليزي,بيرنلي,برينتفورد,17:00,2 - 1,2024-03-16
الدوري الإنجليزي,لوتون تاون,نوتينجهام فورست,17:00,1 - 1,2024-03-16
الدوري الإنجليزي,فولهام,توتنهام هوتسبر,19:30,3 - 0,2024-03-16
كأس الاتحاد الإنجليزي,وولفرهامبتون,كوفنتري سيتي,14:15,2 - 3,2024-03-16
كأس الاتحاد الإنجليزي,مانشستر سيتي,نيوكاسل,19:30,2 - 0,2024-03-16
الدوري الإسباني,مايوركا,غرناطه,15:00,1 - 0,2024-03-16
الدوري الإسباني,أوساسونا,ريال مدريد,17:15,2 - 4,2024-03-16
الدوري الإسباني,خيتافي,جيرونا,19:30,1 - 0,2024-03-16
الدوري الإسباني,أتلتيك بلباو,ألافيس,22:00,2 - 0,2024-03-16
الدوري الأفريقي لكرة السلة,كيب تاون تايجرز,بترو دي لواندا,16:00,84 - 78,2024-03-16
الدوري السعودي,الهلال,ضمك,21:00,2 - 1,2024-03-16
الدوري السعودي,الرائد,التعاون,21:00,0 - 0,2024-03-16
الدوري السعودي,الفتح,الاتحاد,21:00,2 - 4,2024-03-16
الدوري الإيطالي,أودينيزي,تورينو,16:00,0 - 2,2024-03-16
الدوري الإيطالي,مونزا,كالياري,16:00,1 - 0,2024-03-16
الدوري الإيطالي,ساليرنيتانا,ليتشي,19:00,0 - 1,2024-03-16
الدوري الإيطالي,فروزينوني,لاتسيو,21:45,2 - 3,2024-03-16
الدوري الألماني,يونيون برلين,فيردر بريمن,16:30,2 - 1,2024-03-16
الدوري الألماني,دارمشتات,بايرن ميونيخ,16:30,2 - 5,2024-03-16
الدوري الألماني,هايدنهايم,مونشنجلادباخ,16:30,1 - 1,2024-03-16
الدوري الألماني,فولفسبورج,أوجسبورج,16:30,1 - 3,2024-03-16
الدوري الألماني,ماينز,بوخوم,16:30,2 - 0,2024-03-16
الدوري الألماني,هوفنهايم,شتوتجارت,19:30,0 - 3,2024-03-16
الدوري الفرنسي,نانت,ستراسبورج,18:00,1 - 3,2024-03-16
الدوري الفرنسي,لانس,نيس,22:00,1 - 3,2024-03-16
الدوري المغربي,نهضة الزمامرة,شباب المحمدية,23:59,0 - 0,2024-03-16
الدوري المغربي,مولودية وجدة,المغرب التطواني,23:59,0 - 1,2024-03-16
الدوري المغربي,الجيش الملكي,أولمبيك آسفي,23:59,1 - 0,2024-03-16
الدوري المغربي,الرجاء البيضاوي,الشباب الرياضي السالمي,23:59,3 - 1,2024-03-16
الدوري التركي,ألانيا سبور,قيصري سبور,12:30,1 - 0,2024-03-16
الدوري التركي,أنقرة جوتشو,إسطنبول باشاكشهير,15:00,2 - 1,2024-03-16
الدوري التركي,بشكتاش,انطاليا سبور,19:30,1 - 2,2024-03-16
الدوري التركي,أضنة دمير سبور,سيفاسبور,19:30,4 - 1,2024-03-16
الدوري التونسي,الترجى الرياضي,الافريقي التونسي,22:30,1 - 0,2024-03-16
الدوري البرتغالي,فاماليكاو,إستريلا,17:30,0 - 0,2024-03-16
الدوري البرتغالي,فيرنسي,ريو آفي,20:00,1 - 1,2024-03-16
الدوري البرتغالي,سبورتينج براجا,جل فيسنتي,20:00,2 - 1,2024-03-16
الدوري البرتغالي,بورتو,فيزيلا,22:30,4 - 1,2024-03-16
دوري نجوم قطر,ام صلال,الوكرة,20:30,0 - 2,2024-03-16
دوري نجوم قطر,الأهلي القطري,العربي,20:30,1 - 1,2024-03-16
الدوري الإنجليزي,وست هام يونايتد,أستون فيلا,16:00,1 - 1,2024-03-17
كأس الاتحاد الإنجليزي,تشيلسي,ليستر سيتي,14:45,4 - 2,2024-03-17
كأس الاتحاد الإنجليزي,مانشستر يونايتد,ليفربول,17:30,4 - 3,2024-03-17
الدوري الإسباني,اشبيلية,سيلتا فيجو,15:00,1 - 2,2024-03-17
الدوري الإسباني,فياريال,فالنسيا,17:15,1 - 0,2024-03-17
الدوري الإسباني,لاس بالماس,الميريا,17:15,0 - 1,2024-03-17
الدوري الإسباني,رايو فاييكانو,ريال بيتيس,19:30,2 - 0,2024-03-17
الدوري الإسباني,اتلتيكو مدريد,برشلونة,22:00,0 - 3,2024-03-17
الدوري الأفريقي لكرة السلة,نادي الفتح الرياضي,كيب تاون تايجرز,19:00,84 - 75,2024-03-17
الدوري الإيطالي,يوفنتوس,جنوى,13:30,0 - 0,2024-03-17
الدوري الإيطالي,هيلاس فيرونا,ميلان,16:00,1 - 3,2024-03-17
الدوري الإيطالي,روما,ساسولو,19:00,1 - 0,2024-03-17
الدوري الإيطالي,إنتر ميلان,نابولي,21:45,1 - 1,2024-03-17
الدوري الألماني,فرايبورج,باير ليفركوزن,16:30,2 - 3,2024-03-17
الدوري الألماني,بروسيا دورتموند,آ. فرانكفورت,18:30,3 - 1,2024-03-17
الدوري الفرنسي,بريست,ليل,14:00,1 - 1,2024-03-17
الدوري الفرنسي,ريمس,ميتز,16:00,2 - 1,2024-03-17
الدوري الفرنسي,موناكو,لوريان,16:00,2 - 2,2024-03-17
الدوري الفرنسي,كليرمونت,لوهافر,16:00,2 - 1,2024-03-17
الدوري الفرنسي,رين,مارسيليا,18:05,2 - 0,2024-03-17
الدوري الفرنسي,مونبيليه,باريس سان جيرمان,21:45,2 - 6,2024-03-17
الدوري المغربي,يوسفية برشيد,الوداد البيضاوي,23:59,0 - 0,2024-03-17
الدوري المغربي,اتحاد طنجة,حسنية اغادير,23:59,0 - 1,2024-03-17
الدوري المغربي,نهضة بركان,الفتح الرباطي,23:59,2 - 0,2024-03-17
الدوري التركي,ريزه سبور,غازي عنتاب بي.بي.كي,12:30,3 - 1,2024-03-17
الدوري التركي,هاتاي سبور,سامسون سبور,15:00,3 - 0,2024-03-17
الدوري التركي,قاسم باشا,جالاتا سراي,15:00,3 - 4,2024-03-17
الدوري التركي,طرابزون سبور,فنربخشة,19:30,2 - 3,2024-03-17
الدوري التونسي,الملعب التونسي,النجم الساحلى,15:00,1 - 1,2024-03-17
الدوري التونسي,الصفاقســــي,الإتحاد المنستيري,22:30,0 - 1,2024-03-17
الدوري البرتغالي,موريرنسي,أروكا,17:30,1 - 0,2024-03-17
الدوري البرتغالي,شافيش,فيتوريا جيماريش,17:30,1 - 2,2024-03-17
الدوري البرتغالي,كازا بيا,بنفيكا,20:00,0 - 1,2024-03-17
الدوري البرتغالي,سبورتينج لشبونة,بوافيستا,22:30,6 - 1,2024-03-17
دوري نجوم قطر,المرخية الرياضي,نادي قطر,20:30,1 - 2,2024-03-17
دوري نجوم قطر,الغرافة,الريان,20:30,3 - 0,2024-03-17
